"Model","Chi-sq","df","CFI","TLI","RMSEA","RMSEA 90% CI","SRMR","AIC","BIC"
"Serial chain",499.29,158,0.902,0.882,0.066,"[0.059, 0.072]",0.071,25570.1,25789.4
"Full (+ direct paths)",420.63,144,0.921,0.895,0.062,"[0.055, 0.069]",0.061,25519.4,25797.7
